feature,coefficient
syn_ratio,5.083634401513236
svc_dynamic,3.2584139437339186
svc_smtp,-3.0273268479900852
svc_http,-2.8813556406834913
rst_ratio,2.5542089168701048
protocol_icmp,2.4309379652562164
protocol_udp,-1.968728258871609
svc_https,1.6220929762218508
svc_dns,-1.5901949143883383
svc_ssh,1.1674059611882008
data_pkt_ratio,-1.1495310918678803
svc_user,0.8056589033936674
svc_telnet,-0.7536051550308679
svc_system,0.7227674763564507
protocol_tcp,-0.6475136075107076
svc_ftp,0.4908393960725358
duration,-0.32198099723755996
byte_ratio,-0.21263815499812053
fin_ratio,0.09240316211981063
bytes_per_sec,0.012344666576561181
svc_mysql,0.0
svc_rdp,0.0
svc_unknown,0.0
