feature,coefficient,model,experiment,importance
svc_http,,rf,exp5,0.0812293015066504
syn_ratio,,rf,exp5,0.0555222140398809
svc_system,,rf,exp5,0.0476623312536377
protocol_icmp,,rf,exp5,0.0386444558901135
svc_dynamic,,rf,exp5,0.0292559036962199
protocol_tcp,,rf,exp5,0.0231346559614907
rst_ratio,,rf,exp5,0.0216584030842476
duration,,rf,exp5,0.0153020713157773
protocol_udp,,rf,exp5,0.0080119747903358
svc_dns,,rf,exp5,0.0059999146748641
svc_smtp,,rf,exp5,0.0059921654851407
svc_ftp,,rf,exp5,0.0044671352839523
svc_user,,rf,exp5,0.0027579331168027
svc_telnet,,rf,exp5,0.0004939298783946
svc_https,,rf,exp5,0.0002134430972594
svc_ssh,,rf,exp5,0.0001085460516008
svc_mysql,,rf,exp5,0.0
svc_rdp,,rf,exp5,0.0
svc_unknown,,rf,exp5,0.0
syn_ratio,1.6546727996237924,svm,exp4,
rst_ratio,1.3302414546424588,svm,exp4,
protocol_icmp,0.8705161293743503,svm,exp4,
protocol_tcp,-0.6331145767596112,svm,exp4,
protocol_udp,-0.3934130795657541,svm,exp4,
data_pkt_ratio,-0.2073491756019449,svm,exp4,
fin_ratio,0.1466064950979192,svm,exp4,
bytes_per_sec,-0.1187745526819654,svm,exp4,
byte_ratio,0.0645930272406798,svm,exp4,
duration,-0.0229683534390644,svm,exp4,
bytes_per_sec,,rf,exp1,0.3252461023337866
dst_bytes,,rf,exp1,0.2553164547200041
byte_ratio,,rf,exp1,0.2415244023339508
syn_ratio,,rf,exp1,0.0884024247207246
protocol_icmp,,rf,exp1,0.038655746517948
protocol_tcp,,rf,exp1,0.0246873476408944
duration,,rf,exp1,0.0143525230701884
protocol_udp,,rf,exp1,0.0118149986625027
bytes_per_sec,,rf,exp3,0.3987794579955857
byte_ratio,,rf,exp3,0.2746657510164554
fin_ratio,,rf,exp3,0.1185419471543672
protocol_icmp,,rf,exp3,0.0669932022820374
syn_ratio,,rf,exp3,0.0506347809291674
rst_ratio,,rf,exp3,0.0309969945789884
protocol_tcp,,rf,exp3,0.0284533499661671
duration,,rf,exp3,0.0186615590765315
protocol_udp,,rf,exp3,0.0122729570006996
dst_bytes,-5.97773727239682,lr,exp0,
src_bytes,3.833760521187346,lr,exp0,
byte_ratio,-3.0967868274014028,lr,exp0,
protocol_icmp,1.5099248481536836,lr,exp0,
protocol_udp,-1.0971783463753864,lr,exp0,
bytes_per_sec,-1.0175490600960042,lr,exp0,
protocol_tcp,-0.7800842764682062,lr,exp0,
duration,-0.15928655712409,lr,exp0,
syn_ratio,6.642254998898372,lr,exp3,
rst_ratio,4.058503404411121,lr,exp3,
protocol_tcp,-2.389452893048734,lr,exp3,
protocol_icmp,2.071371185974937,lr,exp3,
bytes_per_sec,-0.9563131758012428,lr,exp3,
protocol_udp,-0.7330765857438416,lr,exp3,
fin_ratio,0.5180855824258872,lr,exp3,
byte_ratio,0.437557998820414,lr,exp3,
duration,-0.1841668906948126,lr,exp3,
